dataset,method,alpha,param,declared_T,path,error,shape,runs,T,regret_mean,regret_std,time_mean,time_std
GrQc,FastPRB,0.85,eps0.000191,10000,results/online_link_prediction/Grqc_FastPRB_alpha0.85_eps0.000191_T10000_lr10.01_lr20.004_202601252055,,10x10000x5,10,10000,6106.0,425.17337640073373,1770.384300160408,12.685739478373323
GrQc,FastPRB,0.85,eps0.000191,10000,results/online_link_prediction/Grqc_FastPRB_alpha0.85_eps0.000191_T10000_lr10.01_lr20.004_202601260241,,10x10000x5,10,10000,6564.8,880.6462172745648,2055.1033313751223,273.26938166791126
GrQc,FastPRB,0.85,eps0.000191,10000,results/online_link_prediction/Grqc_FastPRB_alpha0.85_eps0.000191_T10000_lr10.01_lr20.004_202601261325,,10x10000x5,10,10000,6019.1,681.6973595372069,2018.3712801933289,55.7823796491103
GrQc,FastPRB,0.85,eps0.000191,10000,results/online_link_prediction/Grqc_FastPRB_alpha0.85_eps0.000191_T10000_lr10.01_lr20.004_202601261327,,10x10000x5,10,10000,4611.2,623.6046503995941,2094.7445673704146,39.87824786820644
GrQc,FastPRB,0.85,eps0.000191,10000,results/online_link_prediction/Grqc_FastPRB_alpha0.85_eps0.000191_T10000_lr10.01_lr20.004_202601291452,,10x10000x5,10,10000,4029.5,218.13997799578144,5445.280246305466,4.295436741768207
GrQc,FastPRB,0.85,eps0.000191,10000,results/online_link_prediction/Grqc_FastPRB_alpha0.85_eps0.000191_T10000_lr10.01_lr20.004_202601291743,,10x10000x5,10,10000,4029.5,218.13997799578144,1752.6785522937776,17.535333865092166
GrQc,FastPRB,0.85,eps0.000191,10000,results/online_link_prediction/Grqc_FastPRB_alpha0.85_eps0.000191_T10000_lr10.01_lr20.005_202601252248,,10x10000x5,10,10000,6282.4,642.1043840373619,3660.548313331604,2.338819317630048
GrQc,FastPRB,0.85,eps0.000191,10000,results/online_link_prediction/Grqc_FastPRB_alpha0.85_eps0.000191_T10000_lr10.05_lr20.05_202601252248,,10x10000x5,10,10000,6386.8,732.4045057207118,3652.8753885269166,0.9633885205298786
GrQc,FastPRB,0.85,eps0.000191,10000,results/online_link_prediction/Grqc_FastPRB_alpha0.85_eps0.000191_T10000_lr10.1_lr20.01_202601252247,,10x10000x5,10,10000,7052.1,509.86497232110383,3636.6346139907837,4.12579969521103
GrQc,PRB,0.85,powT50,10000,results/online_link_prediction/Grqc_PRB_alpha0.85_powT50_T10000_lr10.01_lr20.004_202601252130,,10x10000x5,10,10000,6160.4,393.41586139859686,2422.8685743570327,14.807582339454473
