target_id,rank,table,dataset,method,alpha_hint,param_hint,paper_regret_mean,paper_regret_std,paper_time_mean,paper_time_std,computed_regret_mean,computed_regret_std,computed_time_mean,computed_time_std,score,status,fallback_used,runs,T,alpha,param,shape,path
13,4,table3_eps,Collab,FastPRB,alpha0.85,eps1/n,2195,129.5,1676,115.5,2195.8000,105.3117,1626.9963,5.1730,40.9213,candidate,False,10,5000,0.85,eps4.24e-05,10x5000x5,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-05_T5000_lr10.01_lr20.004_h100_ks40_202603262013
13,5,table3_eps,Collab,FastPRB,alpha0.85,eps1/n,2195,129.5,1676,115.5,2194.7000,129.4975,2131.2613,22.5651,55.1221,candidate,False,10,5000,0.85,eps4.24e-06,10x5000x5,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-06_T5000_lr10.01_lr20.004_h100_ks40_202603250052
14,1,table3_eps,Collab,FastPRB,alpha0.85,eps0.1/n,2195,109.4,2832,183.7,2195.9000,109.4052,2832.9277,183.7248,1.0004,confirmed,False,10,5000,0.85,eps4.24e-07,10x5000x5,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-07_T5000_lr10.01_lr20.004_202601291248
14,2,table3_eps,Collab,FastPRB,alpha0.85,eps0.1/n,2195,109.4,2832,183.7,2194.7000,129.4975,2814.6937,182.1980,22.2784,candidate,False,10,5000,0.85,eps4.24e-06,10x5000x5,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-06_T5000_lr10.01_lr20.004_202601290028
14,3,table3_eps,Collab,FastPRB,alpha0.85,eps0.1/n,2195,109.4,2832,183.7,2195.8000,105.3117,2983.2453,22.5370,36.1291,candidate,False,10,5000,0.85,eps4.24e-05,10x5000x5,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-05_T5000_lr10.01_lr20.004_202601291248
14,4,table3_eps,Collab,FastPRB,alpha0.85,eps0.1/n,2195,109.4,2832,183.7,2194.7000,129.4975,2131.2613,22.5651,106.5849,candidate,False,10,5000,0.85,eps4.24e-06,10x5000x5,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps4.24e-06_T5000_lr10.01_lr20.004_h100_ks40_202603250052
14,5,table3_eps,Collab,FastPRB,alpha0.85,eps0.1/n,2195,109.4,2832,183.7,2271.6000,83.2829,2927.3176,16.6929,128.9496,candidate,False,10,5000,0.85,eps0.000424,10x5000x5,results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.000424_T5000_lr10.01_lr20.004_h100_ks40_202603262012
15,1,table4_alpha,Collab,PRB,alpha0.6,powT50,1826,95.5,30731,221.5,1826.9000,95.5201,30731.7622,221.5131,0.9976,confirmed,False,10,5000,0.6,powT50,10x5000x5,results/online_link_prediction/Collab_PRB_alpha0.6_powT50_T5000_lr10.01_lr20.004_202601290033
16,1,table4_alpha,Collab,FastPRB,alpha0.6,eps4.24e-06,1815,89.2,1145,19.9,1815.3000,89.2861,1145.0164,19.9565,0.3934,confirmed,False,10,5000,0.6,eps4.24e-06,10x5000x5,results/online_link_prediction/Collab_FastPRB_alpha0.6_eps4.24e-06_T5000_lr10.01_lr20.004_202601282329
17,1,table4_alpha,Collab,PRB,alpha0.7,powT50,1917,99.0,30751,171.9,1917.6000,99.0497,30751.8651,171.9138,0.7376,confirmed,False,10,5000,0.7,powT50,10x5000x5,results/online_link_prediction/Collab_PRB_alpha0.7_powT50_T5000_lr10.01_lr20.004_202601290033
18,1,table4_alpha,Collab,FastPRB,alpha0.7,eps4.24e-06,1920,97.3,1161,18.2,1920.2000,97.3281,1161.7402,18.2825,0.3104,confirmed,False,10,5000,0.7,eps4.24e-06,10x5000x5,results/online_link_prediction/Collab_FastPRB_alpha0.7_eps4.24e-06_T5000_lr10.01_lr20.004_202601282329
19,1,table4_alpha,Collab,PRB,alpha0.8,powT50,2068,144.0,30739,222.7,2068.8000,144.0443,30739.1367,222.7470,0.8627,confirmed,False,10,5000,0.8,powT50,10x5000x5,results/online_link_prediction/Collab_PRB_alpha0.8_powT50_T5000_lr10.01_lr20.004_202601290033
20,1,table4_alpha,Collab,FastPRB,alpha0.8,eps4.24e-06,2067,148.7,1580,7.63,2067.9000,148.7753,1580.0593,7.6339,0.9816,confirmed,False,10,5000,0.8,eps4.24e-06,10x5000x5,results/online_link_prediction/Collab_FastPRB_alpha0.8_eps4.24e-06_T5000_lr10.01_lr20.004_202601282329
21,1,table4_alpha,Collab,PRB,alpha0.9,powT50,2375,119.7,30278,167.7,2375.7000,119.7431,30278.2338,167.7502,0.7715,confirmed,False,10,5000,0.9,powT50,10x5000x5,results/online_link_prediction/Collab_PRB_alpha0.9_powT50_T5000_lr10.01_lr20.004_202601290042
22,1,table4_alpha,Collab,FastPRB,alpha0.9,eps4.24e-06,2355,105.6,1620,12.8,2355.5000,105.6771,1620.6709,12.8020,0.6444,confirmed,False,10,5000,0.9,eps4.24e-06,10x5000x5,results/online_link_prediction/Collab_FastPRB_alpha0.9_eps4.24e-06_T5000_lr10.01_lr20.004_202601282329
