path,entry_type,category,dataset,method,T,alpha,param,created,has_final_results,file_count,total_bytes,notes
results/baselines/Vessel_NeuralTS_regret2.npy,baselines_file,baseline,,,,,,,False,1,4128,
results/baselines/Vessel_NeuralTS_time.npy,baselines_file,baseline,Vessel,NeuralTS,,,,,False,1,400128,time
results/baselines/Vessel_NeuralTS_time2.npy,baselines_file,baseline,,,,,,,False,1,4128,
results/baselines/Vessel_NeuralUCB_regret.npy,baselines_file,baseline,Vessel,NeuralUCB,,,,,False,1,400128,regret
results/baselines/Vessel_NeuralUCB_regret2.npy,baselines_file,baseline,,,,,,,False,1,4128,
results/baselines/Vessel_NeuralUCB_time.npy,baselines_file,baseline,Vessel,NeuralUCB,,,,,False,1,400128,time
results/baselines/Vessel_NeuralUCB_time2.npy,baselines_file,baseline,,,,,,,False,1,4128,
results/baselines/Vessel_Neural_epsilon_regret.npy,baselines_file,baseline,Vessel,Neural_epsilon,,,,,False,1,400128,regret
results/baselines/Vessel_Neural_epsilon_regret2.npy,baselines_file,baseline,,,,,,,False,1,4128,
results/baselines/Vessel_Neural_epsilon_time.npy,baselines_file,baseline,Vessel,Neural_epsilon,,,,,False,1,400128,time
results/baselines/Vessel_Neural_epsilon_time2.npy,baselines_file,baseline,,,,,,,False,1,4128,
results/baselines_new/20260506_033529,baselines_new_run_dir,baseline,MovieLens,"NeuralUCB,NeuralTS,NeuralGreedy",20,,,20260506_033529,False,9,207264,
results/baselines_new/20260709_060955,baselines_new_run_dir,smoke_test,MovieLens,EE-Net,1,,,20260709_060955,False,3,1291,metadata T=1
results/baselines_new/20260709_062814,baselines_new_run_dir,smoke_test,MovieLens,EE-Net,1,,,20260709_062814,False,3,1292,metadata T=1
results/baselines_new/20260709_063124,baselines_new_run_dir,smoke_test,MovieLens,EE-Net,1,,,20260709_063124,False,3,1291,metadata T=1
results/baselines_new/Amazon_EE-Net_regret.npy,baselines_new_file,baseline,Amazon,EE-Net,,,,,False,1,400128,regret
results/baselines_new/Amazon_EE-Net_time.npy,baselines_new_file,baseline,Amazon,EE-Net,,,,,False,1,400128,time
results/baselines_new/Amazon_NeuralGreedy_regret.npy,baselines_new_file,baseline,Amazon,NeuralGreedy,,,,,False,1,400128,regret
results/baselines_new/Amazon_NeuralGreedy_time.npy,baselines_new_file,baseline,Amazon,NeuralGreedy,,,,,False,1,400128,time
